File_ID,syntax_source,Syntax_Utts_Analyzed,Syntax_Tokens_Analyzed,Syntax_Mean_DepLen,Syntax_Max_DepLen,Syntax_Mean_TreeDepth,Syntax_Max_TreeDepth,Syntax_Subordination_Utt_Prop,Syntax_Coordination_Utt_Prop,Syntax_Subject_Utt_Prop,Syntax_Object_Utt_Prop,Syntax_AuxCop_Utt_Prop,Syntax_Oblique_Utt_Prop,Syntax_ComplexNP_Utt_Prop,Syntax_FiniteVerb_Tokens_per_Utt
pair_sli480_td450_rep09_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli480_td450_rep09_SLI_bundle.cha,73.0,387.0,1.7707006369426752,8.0,1.2454780361757105,4.0,0.1917808219178082,0.3424657534246575,0.821917808219178,0.5068493150684932,0.1643835616438356,0.1643835616438356,0.2328767123287671,0.9315068493150684
pair_sli480_td450_rep10_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli480_td450_rep10_SLI_bundle.cha,70.0,349.0,1.7849462365591398,9.0,1.3553008595988538,5.0,0.18571428571428572,0.38571428571428573,0.7,0.32857142857142857,0.08571428571428572,0.17142857142857143,0.4142857142857143,0.9571428571428572
pair_sli482_td466_rep01_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep01_SLI_bundle.cha,59.0,292.0,1.5965665236051503,6.0,1.2431506849315068,4.0,0.13559322033898305,0.3050847457627119,0.7796610169491526,0.3728813559322034,0.0847457627118644,0.2033898305084746,0.4745762711864407,0.8983050847457628
pair_sli482_td466_rep02_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep02_SLI_bundle.cha,55.0,270.0,1.6372093023255814,8.0,1.2074074074074075,4.0,0.23636363636363636,0.23636363636363636,0.8727272727272727,0.4,0.09090909090909091,0.23636363636363636,0.2727272727272727,0.9090909090909091
pair_sli482_td466_rep03_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep03_SLI_bundle.cha,49.0,279.0,1.8347826086956522,9.0,1.3405017921146953,3.0,0.20408163265306123,0.20408163265306123,0.7959183673469388,0.4489795918367347,0.14285714285714285,0.3673469387755102,0.3469387755102041,0.9795918367346939
pair_sli482_td466_rep04_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep04_SLI_bundle.cha,54.0,290.0,1.6991525423728813,8.0,1.2586206896551724,5.0,0.16666666666666666,0.3333333333333333,0.8888888888888888,0.4074074074074074,0.05555555555555555,0.2777777777777778,0.4074074074074074,0.8888888888888888
pair_sli482_td466_rep05_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep05_SLI_bundle.cha,57.0,287.0,1.6130434782608696,6.0,1.2369337979094077,4.0,0.12280701754385964,0.21052631578947367,0.8421052631578947,0.3157894736842105,0.17543859649122806,0.14035087719298245,0.3684210526315789,0.8947368421052632
pair_sli482_td466_rep06_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep06_SLI_bundle.cha,60.0,325.0,1.8264150943396227,11.0,1.2676923076923077,3.0,0.18333333333333332,0.35,0.7666666666666667,0.4166666666666667,0.11666666666666667,0.25,0.36666666666666664,0.8666666666666667
pair_sli482_td466_rep07_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep07_SLI_bundle.cha,68.0,336.0,1.7313432835820894,9.0,1.2291666666666667,4.0,0.14705882352941177,0.16176470588235295,0.7647058823529411,0.36764705882352944,0.22058823529411764,0.22058823529411764,0.22058823529411764,0.8823529411764706
pair_sli482_td466_rep08_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep08_SLI_bundle.cha,62.0,311.0,1.6265060240963856,7.0,1.2733118971061093,6.0,0.14516129032258066,0.3064516129032258,0.7741935483870968,0.3870967741935484,0.016129032258064516,0.27419354838709675,0.2903225806451613,0.8064516129032258
pair_sli482_td466_rep09_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep09_SLI_bundle.cha,61.0,334.0,1.7619047619047619,7.0,1.3652694610778444,5.0,0.19672131147540983,0.26229508196721313,0.8032786885245902,0.39344262295081966,0.11475409836065574,0.19672131147540983,0.47540983606557374,1.0819672131147542
pair_sli482_td466_rep10_SLI_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli482_td466_rep10_SLI_bundle.cha,60.0,356.0,1.777027027027027,8.0,1.3679775280898876,4.0,0.16666666666666666,0.38333333333333336,0.8166666666666667,0.43333333333333335,0.05,0.31666666666666665,0.45,0.9
